t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0;10156.1589734843;3.76879076052629E-06;0.000539924965488;-1.86538428287385;-1.73898649312796;-2.82986355915314E-07;2.63811298934116E-07
0.000346020761246;10152.5546027083;3.74961570354509E-06;0.000539770117704;-3.72601877640487;-3.47491102137714;-5.65252149536881E-07;5.27158085386254E-07
0.000692041522491;10148.9580436865;3.73069669637566E-06;0.000539615572864;-5.58191337055047;-5.20784226260133;-8.46798881211423E-07;7.90050778065279E-07
0.001038062283737;10145.3692178512;3.71204265738015E-06;0.000539461327788;-7.43308076748883;-6.93784773266987;-1.12762847791071E-06;1.05249961940206E-06
0.001384083044983;10141.7880449841;3.69366190201764E-06;0.000539307379222;-9.27953658359146;-8.66499367658654;-1.40774330870178E-06;1.31451465903234E-06
0.001730103806228;10138.2144432241;3.67556211085686E-06;0.000539153723839;-11.1212994454886;-10.3893449623143;-1.68714619931979E-06;1.57610573768888E-06
0.002076124567474;10134.6483290765;3.65775029889538E-06;0.000539000358237;-12.958391076274;-12.1109649755563;-1.96584044524616E-06;1.83728247123978E-06
0.00242214532872;10131.0896174325;3.64023278651992E-06;0.000538847278943;-14.7908363680782;-13.8299155139284;-2.24382982271797E-06;2.09805423463382E-06
0.002768166089965;10127.5382216023;3.62301517244214E-06;0.000538694482411;-16.6185387750404;-15.5462552531542;-2.52109968533694E-06;2.35842992921618E-06
0.003114186851211;10123.9941794561;3.60612100440554E-06;0.000538541970453;-18.440872082119;-17.2600349904663;-2.7975550337431E-06;2.61841726113273E-06
0.003460207612457;10120.4580664117;3.58965298791592E-06;0.000538389768024;-20.2559346792232;-18.9712890670207;-3.07290738597866E-06;2.87802144007604E-06
0.003806228373702;10116.9317497381;3.57390481462367E-06;0.000538237955716;-22.0595972690885;-20.6800244325527;-3.34653031091313E-06;3.13724352034923E-06
0.004152249134948;10113.4193517827;3.5595039699624E-06;0.000538086711307;-23.8446402695839;-22.3862106388648;-3.61732856867699E-06;3.39607888283732E-06
0.004498269896194;10109.9281225759;3.54754107468661E-06;0.000537936347437;-25.6003411544061;-24.0897747472937;-3.88367550857268E-06;3.65451646244937E-06
0.004844290657439;10106.4688575826;3.53963171440297E-06;0.000537787329747;-27.3128020071764;-25.7906043692454;-4.14346276035895E-06;3.9125392093803E-06
0.005190311418685;10103.0555671079;3.53786720954765E-06;0.000537640262782;-28.9661254948873;-27.4885600755629;-4.39427863418836E-06;4.17012597166196E-06
0.005536332179931;10099.7042879139;3.54463809799989E-06;0.000537495838899;-30.5443142072827;-29.1834958702866;-4.633696258089E-06;4.42725460111528E-06
0.005882352941176;10096.4311634067;3.56234910355256E-06;0.000537354755573;-32.0335581847273;-30.8752841269591;-4.85962060521421E-06;4.68390573628969E-06
0.006228373702422;10093.2501311726;3.59307589160176E-06;0.000537217615673;-33.4244507990711;-32.563840004043;-5.07062465194938E-06;4.94006650637994E-06
0.006574394463668;10090.1706826812;3.63823261495686E-06;0.000537084830728;-34.7136668044406;-34.249140252299;-5.26620394501879E-06;5.19573338438239E-06
0.006920415224914;10087.1961664276;3.69832019988989E-06;0.000536956547539;-35.9047456453747;-35.9312324833325;-5.44689543250389E-06;5.45091359317042E-06
0.007266435986159;10084.3229953556;3.77280892119283E-06;0.000536832613737;-37.0078146448129;-37.6102330313636;-5.61423547033948E-06;5.70562478111662E-06
0.007612456747405;10081.5409258081;3.86018007130343E-06;0.000536712589569;-38.0383089185264;-39.2863139493972;-5.77056562814516E-06;5.9598930493594E-06
0.007958477508651;10078.8343506164;3.95811818174052E-06;0.000536595803475;-39.0149433547519;-40.9596818385747;-5.91872503031558E-06;6.21374974012893E-06
0.008304498269896;10076.184348291;4.06381547033964E-06;0.000536481440372;-39.9573233758653;-42.6305526386262;-6.06168789888411E-06;6.46722761235773E-06
0.008650519031142;10073.5710974698;4.17433047399991E-06;0.000536368645795;-40.8836222949535;-44.2991269574255;-6.20221119910042E-06;6.72035709907314E-06
0.008996539792388;10070.9762242319;4.28693666049902E-06;0.000536256627222;-41.8087039072523;-45.9655699956585;-6.34254982894323E-06;6.97316326188888E-06
0.009342560553633;10068.3846995814;4.39940419347194E-06;0.000536144736076;-42.7429497131601;-47.6299988545012;-6.4842787040979E-06;7.22566386552773E-06
0.009688581314879;10065.7860249166;4.51017592195612E-06;0.000536032519026;-43.6918939146779;-49.2924783582605;-6.62823738543762E-06;7.47786874409989E-06
0.010034602076125;10063.1746012114;4.61842211918856E-06;0.00053591973409;-44.6566127407544;-50.9530248699763;-6.77458914125586E-06;7.72978037994492E-06
0.01038062283737;10060.5493358736;4.72398199921535E-06;0.000535806333807;-45.6346893740005;-52.6116162572094;-6.92296733055942E-06;7.98139541548195E-06
0.010726643598616;10057.9126678531;4.82721884544881E-06;0.000535692423271;-46.6213755804559;-54.2682038956233;-7.07265162701263E-06;8.23270647420224E-06
0.011072664359862;10055.2693940082;4.9288456077159E-06;0.000535578209529;-47.6104995371419;-55.922721805057;-7.22270574005564E-06;8.48370354664772E-06
0.011418685121107;10052.6257521421;5.02978856711837E-06;0.000535463962035;-48.5948044742089;-57.5750895797228;-7.37202878829151E-06;8.73437443493468E-06
0.011764705882353;10049.9890794304;5.13113640716946E-06;0.000535349997934;-49.5656790258691;-59.2252089215725;-7.51931439262932E-06;8.98470422685085E-06
