t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0;13332;0;0.00295052435238;0.049869262287558;0.000222205199151;4.87670297034676E-08;-2.17293921633215E-10
0.003311258278146;13332.0500914675;4.85497357818344E-08;0.00295054109798;0.199372581259892;0.000887194600212;1.94965959917479E-07;-8.67585431293568E-10
0.006622516556291;13332.2002597759;1.94098374486185E-07;0.002950591299596;0.448360928738671;0.002033823227416;4.38451056351587E-07;-1.98887076310462E-09
0.009933774834437;13332.450394752;4.36462185588482E-07;0.00295067492125;0.796585333771043;0.003725425099139;7.78978850919654E-07;-3.64308409897491E-09
0.013245033112583;13332.8003107589;7.75335766820679E-07;0.002950791902302;1.24369699076233;0.006011925636632;1.21620824748324E-06;-5.87904738638417E-09
0.016556291390729;13333.2497089164;1.21032920009686E-06;0.002950942144812;1.78924765033509;0.008930535499239;1.74970090407053E-06;-8.73314883694075E-09
0.019867549668874;13333.7981781858;1.74096775523359E-06;0.002951125513898;2.43269013166119;0.01250891281651;2.37892173388919E-06;-1.22324352700437E-08
0.02317880794702;13334.4451990445;2.36668929861915E-06;0.002951341838944;3.17337899350476;0.016779079266974;3.10323956152996E-06;-1.64082206046072E-08
0.026490066225166;13335.1901580728;3.08683134092535E-06;0.002951590918472;4.01057124197986;0.021775088253987;3.921927815089E-06;-2.12938055817702E-08
0.029801324503311;13336.0323463302;3.90063400950723E-06;0.002951872519572;4.94342715096314;0.027531732539909;4.83416532844329E-06;-2.69232139593876E-08
0.033112582781457;13336.9709588835;4.8072421144839E-06;0.002952186377734;5.97101117170909;0.034079478407378;5.83903723075982E-06;-3.33262386393759E-08
0.036423841059603;13338.0050906501;5.80571099212044E-06;0.002952532195426;7.09229297803042;0.041446112161318;6.93553596857924E-06;-4.05300517823659E-08
0.039735099337748;13339.1337390902;6.89500591679687E-06;0.002952909642976;8.30614860984565;0.049657205770245;8.12256242408462E-06;-4.85596601534634E-08
0.043046357615894;13340.3558058156;8.07400276393115E-06;0.002953318359081;9.6113617252426;0.058737967614944;9.39892713949215E-06;-5.74397149658221E-08
0.04635761589404;13341.6700996929;9.34148742452633E-06;0.002953757951812;11.0066249401618;0.068712401579249;1.0763351627128E-05;-6.71936895612578E-08
0.049668874172186;13343.0753373417;1.06961579375667E-05;0.002954227998753;12.4905412695267;0.079603227127695;1.22144697786977E-05;-7.7843801246082E-08
0.052980132450331;13344.5701444967;1.21366259774517E-05;0.002954728047421;14.0616256615967;0.091431274865562;1.3750829365735E-05;-8.941042021936E-08
0.056291390728477;13346.1530569365;1.36614189455156E-05;0.002955257615541;15.7183066308496;0.104215947012825;1.53708936363879E-05;-1.01912519863972E-07
0.059602649006623;13347.8225225779;1.52689811165239E-05;0.00295581619171;17.4589279800656;0.117975278981323;1.70730429994449E-05;-1.15367736966596E-07
