t [s];P [Pa];Q [m^3/s];A [m^2]
0;13332;0;0.00295052435238
0.003311258278146;13332.555959696;5.38848185116223E-07;0.002950710212612
0.006622516556291;13334.2172955194;2.14932858211984E-06;0.002951265640742
0.009933774834437;13336.9653372201;4.81386340572351E-06;0.002952184497883
0.013245033112583;13340.7692274595;8.50319763434495E-06;0.002953456632961
0.016556291390729;13345.5863239677;1.31767310696616E-05;0.002955068007867
0.019867549668874;13351.3628826362;1.87828557221161E-05;0.002957000913512
0.02317880794702;13358.0346034668;2.52596869835419E-05;0.002959234137557
0.026490066225166;13365.5274281814;3.25357910764724E-05;0.002961743214564
0.029801324503311;13373.7584110066;4.05310575774819E-05;0.002964500699651
0.033112582781457;13382.6367856686;4.91575711447356E-05;0.002967476507731
0.036423841059603;13392.0650540935;5.83206226009217E-05;0.002970638260765
0.039735099337748;13401.9401516709;6.79197761903964E-05;0.002973951662206
0.043046357615894;13412.1546217639;7.78500274411087E-05;0.002977380876769
0.04635761589404;13422.5978431199;8.8002978909328E-05;0.002980888930809
0.049668874172186;13433.1572647306;9.82680478758976E-05;0.002984438118512
0.052980132450331;13443.7196517958;0.000108533673747;0.002987990415499
0.056291390728477;13454.172306172;0.000118688533237;0.002991507887689
0.059602649006623;13464.4042604743;0.000128622738611;0.002994953095153
0.062913907284768;13474.307426573;0.000138229013966;0.002998289484317
0.066225165562914;13483.7776964661;0.000147403829939;0.003001481767533
0.06953642384106;13492.7159808581;0.000156048491464;0.00300449628464
0.072847682119205;13501.0291807399;0.000164070165639;0.003007301344379
0.076158940397351;13508.6310817919;0.000171382844012;0.003009867541601
0.079470198675497;13515.4431688785;0.000177908228299;0.003012168048658
0.082781456953642;13521.3953548984;0.000183576533262;0.003014178878315
0.086092715231788;13526.4266225927;0.000188327197965;0.003015879116997
0.089403973509934;13530.4855757996;0.00019210950027;0.003017251126501
0.09271523178808;13533.5308995516;0.000194883068114;0.003018280713307
0.096026490066225;13535.5317272285;0.000196618283662;0.003018957264338
0.099337748344371;13536.4679148947;0.000197296575893;0.003019273848737
